date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes
2006-12-10;;Circulations en ligne assurées par des agents de conduite TA ou TB régis par le titre 1 du RH0077, arrêt immédiat d'attribution de charges effectuées par des TA à des agents de la spécialité logistique, arrêt immédiat de toute expérimentation sur les astreintes, les prises de service « indifférentes » ne correspondant pas avec la résidence de l'agent de conduite, arrêt immédiat de toutes les organisations de la production de nature à favoriser la filialisation, la modification du contour des métiers, l’utilisation d’agents de conduite dédiés par train et par ligne, ouverture immédiate d’une véritable négociation afin de limiter le temps de conduite journalier et ininterrompu, notamment de nuit, de tenir compte des facteurs humains, garantissant un haut niveau de sécurité, attribution aux CRTT une prime de traction à un niveau correspondant à leurs responsabilités, arrêt immédiat des incitations faites par l’entreprise pour conserver les agents de conduite à leurs fonctions au-delà de l’âge normal de départ à la retraite, arrêt des recrutements de conducteurs en CDD, maintien de l’âge de départ à la retraite dès 50 ans pour les TA (CRML/P et CRTT/P), satisfaction des points revendicatifs de la lettre du 31 mai au Directeur Général, politique de dumping social et mise en concurrence entre agents de conduite, embauches et mises en formation en nombre suffisant (effectifs, roulements, conditions de vie et de travail, fret ferroviaire et qualité service public), politique de déqualification du métier, transferts de charge de la qualification TB vers TA et TA vers filière matériel, politique spécialisation des agents de conduite des roulements, des unité de production, sédentarisation des agents de conduite, qualification TB.;"SUD;FO";"conducteur;agent de manoeuvre;logistique;ingénierie et maintenance du matériel roulant";5841.0;908.0;15.5
2007-10-17;;Régime spécial de retraite, fret.;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";48227.0;17313.0;35.9
2007-10-17;2007-10-19;Régime spécial de retraite, fret.;"CGT;UNSA;CFDT;CFTC;CFE-CGC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";129762.0;93263.0;71.9
2007-11-13;;Retraites, Fret;"CGT;UNSA;SUD;FO;CFTC;CFE-CGC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";95322.0;30793.0;32.3
2007-11-15;2007-11-19;Retraites, Fret;CFDT;agent de manoeuvre;9514.0;641.0;6.7
2008-05-21;2008-05-23;négociations salariales, retraites;"CGT;UNSA;SUD;CFDT;FO;CFTC;CFE-CGC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";134861.0;34708.0;25.7
2008-06-17;2008-06-18;Retraites, salaires, RH 0077, pénibilité, réorganisation........;CGT;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";125539.0;11294.0;9.0
2008-06-19;;Appellarion Police ferroviaire , prime spécifique SUGE , pénibilité , retrait des notions de pauses sur les mains courantes , maintien du RH0657 , écart entre effectifs et CO , augmentation des qualifications C et des niveaux 2;"SUD;FO;CFTC";"agent de manoeuvre;sûreté ferroviaire";726.0;109.0;15.0
2008-10-06;2008-10-08;Augmentation des salaires et pensions , embauches au statut , table ronde sur les réorganisations , améliorations des conditions de travail , reconnaissance de la pénibilité.;CGT;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";136641.0;13339.0;9.8
2008-11-21;2008-11-21;Pénibilité des agents du métier LT;SUD;service électrique ferroviaire;80.0;10.0;12.5
